#    	Phi		Psi
0	45.32233	132.46565
1	37.23042	125.79868
2	43.84218	-138.81708
3	32.96711	-151.56944
4	40.29655	135.43314
5	37.53978	93.02022
6	40.96770	52.67177
7	40.12494	25.67577
8	33.96966	45.43585
9	39.57644	54.10658
10	33.11079	28.30138
11	40.97175	50.70617
12	40.85323	72.99306
13	40.65775	76.35950
14	50.28549	92.41611
15	41.46646	-170.89539
16	30.65536	-136.02007
17	41.21821	118.75085
18	46.11673	70.72235
19	38.44204	88.21531
20	42.13578	73.75042
21	44.47523	62.51637
22	37.87439	46.16843
23	39.62284	25.12263
24	40.60085	49.18506
25	39.05972	58.60851
26	37.46838	33.84776
27	32.68425	34.53797
28	35.84817	59.22286
29	44.85878	57.20883
30	37.56353	30.75257
31	35.08730	39.65333
32	37.11068	50.89852
33	36.97786	48.94961
34	41.94085	30.47251
35	33.94873	46.30438
36	43.58840	53.21486
37	32.17496	46.25327
38	36.49984	32.48306
39	41.15174	50.30205
40	39.95319	44.04212
41	36.19142	29.47835
42	38.77296	50.98306
43	46.83369	47.21691
44	34.26308	32.39432
45	38.50502	43.62808
46	42.53973	56.84100
47	45.59771	35.20934
48	36.32166	39.03273
49	32.36877	54.39096
50	33.87995	30.53158
51	37.14454	43.91010
52	43.35009	46.88284
53	39.66359	32.95010
54	36.81470	44.61773
55	37.44461	48.98715
56	36.63033	30.98767
57	38.99440	44.88701
58	36.52234	52.93392
59	40.64783	29.74686
60	42.88684	48.32247
61	41.34732	65.65345
62	31.28155	36.30256
63	39.34156	37.34309
64	38.55494	48.61315
65	38.05035	35.82006
66	40.36197	41.79022
67	37.80717	40.60541
68	41.58769	35.59389
69	33.61106	43.45563
70	35.35992	40.49920
71	44.06424	35.45335
72	37.35666	47.11259
73	36.75063	46.67710
74	40.80643	40.54494
75	36.58848	40.92729
76	38.66470	39.53361
77	41.30651	40.90788
78	35.32083	40.04663
79	42.29377	44.91490
80	37.81174	36.77385
81	36.44558	41.06284
82	40.16333	44.62366
83	35.93947	36.24932
84	40.85442	36.23877
85	36.69312	49.33667
86	39.39391	36.44337
87	41.91374	43.37462
88	35.79409	36.08790
89	35.01477	36.31833
90	35.98134	47.17759
91	43.51748	43.18305
92	35.54219	37.16108
93	34.24495	47.72424
94	38.26751	39.18085
95	38.12250	37.68207
96	35.40863	41.83387
97	40.84472	38.53012
98	37.83709	34.40569
99	35.55809	51.08631
100	38.27781	33.52755
101	42.14742	45.30037
102	34.05531	39.73010
103	40.39275	36.57292
104	36.58002	43.43161
105	40.05308	38.59739
106	34.81995	37.83648
107	39.52077	39.53196
108	38.42318	46.69001
109	32.45998	34.19568
110	43.09154	47.63823
111	39.32397	41.70058
112	35.03640	31.56893
113	36.24210	44.00673
114	38.30602	39.71426
115	36.75125	34.64897
116	37.74213	44.89968
117	37.84982	42.90661
118	39.41843	39.10040
119	35.92459	42.90544
120	41.36242	46.05467
121	36.15427	33.59697
122	37.73887	45.07436
123	42.54432	39.83876
124	35.71801	38.15146
125	38.63168	51.18426
126	37.43160	32.39705
127	41.92945	44.63627
128	40.05338	52.58154
129	28.16433	25.54625
130	47.70554	51.89831
131	37.15877	66.17951
132	47.47781	70.37614
133	45.90217	143.92645
134	24.75029	-122.80866
135	42.06161	-170.19090
136	49.58067	87.40209
137	34.86742	64.70731
138	40.51072	27.90200
139	39.10264	35.91992
140	42.40300	76.40148
141	45.53309	86.55482
142	40.82251	116.72259
143	17.35044	-138.73537
144	38.51762	-123.18513
145	32.83340	116.64840
146	43.79654	115.63592
147	43.84667	106.04709
148	41.99862	64.76241
149	31.69933	43.10373
150	38.79418	33.27894
151	35.35959	47.73637
152	43.59519	59.19937
153	41.51192	51.23424
154	37.30687	25.27528
155	35.68805	46.32999
156	40.13299	57.17334
157	37.77412	35.27422
158	36.20326	45.34819
159	39.73026	45.86957
160	37.18433	31.99323
161	36.77598	44.83689
162	39.98703	46.29773
163	39.24566	33.19388
164	39.23251	43.54527
165	40.71594	72.29833
166	42.95999	84.50314
167	46.05431	97.27359
168	43.55601	164.34270
169	37.35934	-162.35519
170	33.99866	132.44351
171	45.53804	103.41884
172	46.09762	-171.50705
173	29.77071	117.05918
174	42.06192	179.83781
175	51.84288	168.84639
176	34.08788	113.04343
177	39.99663	-172.56366
178	29.26731	139.43088
179	44.36396	-172.40109
180	33.68796	154.50275
181	55.39000	156.75092
182	46.03760	151.65149
183	27.20975	116.95909
184	38.38855	-148.00349
185	27.50455	161.16490
186	42.28926	151.61879
187	38.84891	117.44815
188	52.43138	164.37735
189	34.38195	-148.17641
190	29.53298	153.33754
