#    	Phi		Psi
0	37.65746	-115.95209
1	43.13120	-115.68052
2	42.04690	-94.68461
3	45.42188	-83.92052
4	40.99901	-150.14322
5	36.49323	-179.62009
6	43.56371	143.59711
7	42.05743	97.76764
8	43.68416	116.39787
9	45.19637	113.36815
10	35.65985	92.24849
11	39.23637	94.43745
12	40.29397	90.83245
13	42.05143	126.60204
14	32.01704	97.02745
15	36.52343	57.56298
16	38.26402	122.86989
17	42.34081	160.34534
18	35.13940	145.84419
19	29.99316	120.57731
20	35.85970	143.35802
21	35.06608	145.64359
22	32.57505	105.42352
23	41.75073	151.19888
24	29.77475	87.24709
25	32.68242	138.81853
26	43.23175	-172.50285
27	39.13499	-133.49763
28	41.01544	-178.93799
29	41.67552	-134.70952
30	34.60356	179.02460
31	41.60972	-173.37978
32	45.88052	103.78676
33	38.16089	161.95665
34	27.22660	131.59348
35	37.32890	172.89365
36	40.81817	178.60316
37	27.87671	112.62677
38	29.27000	102.66632
39	40.81631	134.50249
40	35.64827	167.84438
41	34.83206	157.98636
42	45.71437	-129.59995
43	34.62099	-172.92545
44	32.75285	168.90111
45	33.60926	-155.29616
46	38.34034	98.95579
47	41.22031	158.67537
48	40.87960	-172.33781
49	40.36496	172.97784
50	40.08835	169.69450
51	41.48901	-163.82829
52	36.87164	139.54776
53	40.93196	151.03110
54	39.09602	152.18460
55	40.03034	-179.31882
56	44.35032	122.44497
57	43.47972	121.19678
58	38.72942	141.74895
59	34.99507	127.36199
60	35.00261	-173.90494
61	37.14568	122.46246
62	39.10441	113.87871
63	31.37074	83.63220
64	37.03704	104.48170
65	37.55629	67.95487
66	39.37920	73.03721
67	37.70214	71.87446
68	35.80678	87.21413
69	38.75737	126.89176
70	34.04722	106.57740
71	39.56644	166.76578
72	33.02740	165.90794
73	36.42256	130.16641
74	33.91720	113.92175
75	33.67612	106.23392
76	34.76974	132.96097
77	34.70597	138.43715
78	34.02661	110.78419
79	46.39402	-179.79337
80	39.10406	176.83131
81	42.63876	148.43257
82	32.18689	-178.31136
83	36.56675	149.49948
84	30.00825	115.71840
85	38.27035	79.31746
86	43.76558	91.13631
87	45.10889	161.43210
88	28.81599	94.47341
89	36.83585	133.26833
90	38.59009	68.93626
91	39.63988	64.55093
92	34.22380	119.21560
93	39.15813	146.98904
94	31.75039	124.19685
95	39.72002	81.01961
